ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5062159,F,N,Y,0,166500.0,Commercial associate,Higher education,Widow,House / apartment,-20422,-2328,1,0,0,0,Cleaning staff,1.0
6099966,M,N,Y,0,270000.0,Commercial associate,Higher education,Married,Municipal apartment,-10396,-1323,1,0,1,1,,2.0
6486280,F,N,Y,0,65520.0,Pensioner,Higher education,Married,House / apartment,-23091,365243,1,0,0,0,,2.0
7689109,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-17061,-123,1,0,0,1,Managers,2.0
6410035,M,Y,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16578,-1354,1,0,0,0,Drivers,3.0
6730589,F,N,N,0,306000.0,Pensioner,Higher education,Married,House / apartment,-21382,365243,1,0,0,0,,2.0
5425106,F,N,Y,0,135000.0,Pensioner,Lower secondary,Married,House / apartment,-21072,365243,1,0,0,0,,2.0
5706718,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-17779,-188,1,1,0,0,Laborers,3.0
5174826,F,N,Y,0,315000.0,State servant,Secondary / secondary special,Married,House / apartment,-18923,-1519,1,0,0,0,Core staff,2.0
5089397,F,Y,N,0,562500.0,Working,Higher education,Married,House / apartment,-14654,-2836,1,1,0,0,Managers,2.0
5452264,F,Y,Y,0,225000.0,State servant,Higher education,Married,House / apartment,-16435,-9590,1,0,0,0,Medicine staff,2.0
6544757,F,Y,Y,1,297000.0,Working,Secondary / secondary special,Separated,House / apartment,-13881,-1798,1,0,0,0,Core staff,2.0
6351680,F,N,N,0,54000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11731,-453,1,1,1,0,Sales staff,1.0
6742226,M,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12884,-1775,1,0,0,0,Drivers,3.0
5762605,F,Y,N,0,135000.0,Working,Secondary / secondary special,Single / not married,With parents,-9848,-2038,1,0,0,0,Core staff,1.0
6288123,F,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,-17872,-3381,1,0,0,0,Medicine staff,2.0
6123275,F,Y,N,2,270000.0,Working,Higher education,Separated,House / apartment,-11129,-4013,1,1,0,0,Laborers,3.0
5625065,F,N,N,0,360000.0,Commercial associate,Higher education,Married,House / apartment,-10031,-1488,1,0,1,0,Managers,2.0
7155502,F,N,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20394,-3482,1,0,1,0,Laborers,2.0
6244327,F,N,N,0,211500.0,Working,Secondary / secondary special,Married,House / apartment,-19450,-12654,1,1,1,0,High skill tech staff,2.0
6481457,F,N,N,0,180000.0,State servant,Higher education,Married,House / apartment,-10965,-3154,1,0,1,0,,2.0
5465686,M,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21725,-3375,1,1,0,0,Drivers,2.0
5823893,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,With parents,-10123,-566,1,1,1,0,Core staff,2.0
6089672,F,N,Y,2,168750.0,Working,Higher education,Married,House / apartment,-9742,-1638,1,0,0,0,,4.0
6468438,F,Y,N,1,360000.0,Working,Higher education,Separated,House / apartment,-17223,-235,1,0,1,0,Accountants,2.0
5046329,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20726,365243,1,0,0,0,,2.0
5436562,M,Y,Y,1,540000.0,Commercial associate,Incomplete higher,Married,House / apartment,-15510,-1704,1,0,0,0,Managers,3.0
6481746,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-15459,-2058,1,1,1,0,Managers,1.0
6620609,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23391,365243,1,0,1,0,,2.0
5632354,F,N,N,0,99900.0,Pensioner,Higher education,Married,House / apartment,-19698,365243,1,0,1,0,,2.0
5636977,F,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-15456,-2220,1,0,0,0,Accountants,2.0
6806205,M,Y,N,0,382500.0,Pensioner,Higher education,Married,Rented apartment,-10068,365243,1,0,0,0,,2.0
6746947,F,N,Y,2,67500.0,Working,Higher education,Civil marriage,House / apartment,-12173,-741,1,0,0,0,Medicine staff,4.0
5981512,F,N,Y,1,112500.0,State servant,Lower secondary,Married,House / apartment,-16194,-2420,1,0,0,1,,3.0
5762351,F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19262,-7913,1,0,1,0,Laborers,1.0
6480681,M,Y,N,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21307,365243,1,0,0,0,,2.0
5546741,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17842,-2376,1,0,0,0,Sales staff,2.0
6560026,M,Y,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-11942,-4588,1,0,0,0,High skill tech staff,4.0
