Exp. number,gener. method,regg. method,explained_variance,max_error,r2,mean_squared_error
0,Real,Boosting regressor,0.8131726811452343,1.0180796365025497,0.8131721001714605,0.161895680071455
0,CTGAN,Boosting regressor,-0.49029701850032836,2.6617755196937,-0.5309747012053192,1.7245833885731046
1,CTGAN,Boosting regressor,-0.3493346137914446,2.430850740355642,-0.40367565104542535,1.6305868341302274
2,CTGAN,Boosting regressor,-0.4858853113013333,2.94655134030302,-0.5635300079713477,1.6031591011996107
3,CTGAN,Boosting regressor,-0.7157726084934761,3.6588588926224466,-0.7192544257404336,2.18900794197026
4,CTGAN,Boosting regressor,-0.4391496785246132,1.9933563417210627,-0.7173758802856682,1.0728392599352836
5,CTGAN,Boosting regressor,-0.9990167747784835,2.475289888718485,-1.0337422860285734,1.1591013022166534
6,CTGAN,Boosting regressor,-0.21835977863048628,2.9800364690669285,-0.26128828578420493,1.5609611035600774
7,CTGAN,Boosting regressor,-0.5445382271130093,2.7197234266565338,-0.6053332829690967,1.7442398164952415
8,CTGAN,Boosting regressor,-0.2376028873820708,3.1686777421432923,-0.2611399960947973,3.203493667673643
9,CTGAN,Boosting regressor,-0.34488394362124764,2.7691805449103497,-0.35023632894894874,0.8932049595058634
10,CTGAN,Boosting regressor,-0.3013846606606685,3.066153266243708,-0.3224214136824899,1.8927485035547822
11,CTGAN,Boosting regressor,-0.1753900902706398,3.127614837692926,-0.21638146580510442,1.8664130662590777
12,CTGAN,Boosting regressor,-0.2836103873690692,3.7273969168512204,-0.3270809453012853,2.4116860410972247
13,CTGAN,Boosting regressor,-0.3018454222407092,2.900053970579109,-0.3471766988284479,1.3746226214809687
14,CTGAN,Boosting regressor,-0.288462546155853,2.340885285861587,-0.2949014286556755,0.9111672298022245
15,CTGAN,Boosting regressor,-0.748503056210982,4.1314599554264415,-0.8502883360616893,1.8667009272060775
16,CTGAN,Boosting regressor,-0.05036978295206329,2.1193919370697354,-0.050500043969436303,0.6853439703284602
17,CTGAN,Boosting regressor,-0.2457261069721599,2.55187000605698,-0.3852158018187939,1.2791244441356364
18,CTGAN,Boosting regressor,-0.213891229437839,2.209608705850076,-0.2154886340961395,1.5442454401086145
19,CTGAN,Boosting regressor,-0.169267771534511,2.239949472634604,-0.17200366884637264,0.8969490317416315
20,CTGAN,Boosting regressor,-0.22500472107554126,3.264621560597246,-0.25695435035519276,2.0361295059920628
21,CTGAN,Boosting regressor,-0.5068144418937173,3.529347700702167,-0.5068581120875648,1.5599178307187347
22,CTGAN,Boosting regressor,-0.41376746706742207,2.327077668261543,-0.7810622991136298,1.4470069988460452
23,CTGAN,Boosting regressor,-0.05509759600833264,2.530653587733176,-0.07437751393621461,1.6588068624436059
24,CTGAN,Boosting regressor,-0.5461519305904827,3.2887272342559775,-0.7621210643980256,1.9376431277583963
25,CTGAN,Boosting regressor,-0.2227620145099085,2.306454869213045,-0.2725693054476457,1.4815838440463989
26,CTGAN,Boosting regressor,-0.31831649644492477,1.5582497050387063,-0.3755466010763435,0.4537854523817181
27,CTGAN,Boosting regressor,-0.3663288359283021,3.5458643229835403,-0.36632893164434455,1.7205031194824996
28,CTGAN,Boosting regressor,-0.4034587088784489,2.271047496907611,-0.43883134416186453,1.2502820957271104
29,CTGAN,Boosting regressor,-0.2604221983721886,2.4221946029624113,-0.26097119314987616,1.013606490038109
30,CTGAN,Boosting regressor,0.051141694337125454,3.0795256673473217,0.014556221093117383,1.267975458523389
31,CTGAN,Boosting regressor,-0.6507575823943861,3.309498184594154,-0.7159644772291509,2.0284225747017266
32,CTGAN,Boosting regressor,-0.6529471405180332,3.935592564145737,-0.6670957121431083,2.0830972150997447
33,CTGAN,Boosting regressor,-0.6189024355319683,3.383255937287693,-0.629396654660223,1.9294962391029664
34,CTGAN,Boosting regressor,-0.32348595653298373,3.9332845211320566,-0.3278196281631327,1.0052394708786057
35,CTGAN,Boosting regressor,-0.38124804623290287,3.7126581573360236,-0.3939461517077172,1.8745709587477706
36,CTGAN,Boosting regressor,-0.4262683816998418,3.4208925565732615,-0.5116251078749652,1.595096702671281
37,CTGAN,Boosting regressor,-0.3221098494587127,2.8984257978256984,-0.3262005557425325,1.3531165547361879
38,CTGAN,Boosting regressor,-0.38936263943910343,3.00928875061514,-0.40042509334973886,1.5512010040890178
39,CTGAN,Boosting regressor,-0.504571017353165,3.1904743522822456,-0.5086403603637515,2.465210710678029
40,CTGAN,Boosting regressor,-0.9458498125017838,2.6104499562602315,-0.9616336695028067,2.1879722532830104
41,CTGAN,Boosting regressor,-0.7672634004314662,3.7798578414669803,-0.9183097124686088,2.6021925074186125
42,CTGAN,Boosting regressor,-0.46745251360528894,3.8581706379567957,-0.47756822286618705,3.0792887304371583
43,CTGAN,Boosting regressor,-0.7786072765372263,2.405259389106001,-0.7899618561488577,1.2238076710017287
44,CTGAN,Boosting regressor,-0.267808569898367,2.491977595306904,-0.2941987016895642,1.0161589743812622
45,CTGAN,Boosting regressor,-0.5193066169594938,2.9994522217011834,-0.5252551778348271,1.7968200183009029
46,CTGAN,Boosting regressor,-0.42270926666668296,2.4677180069579885,-0.43519851358615913,1.427650625635432
47,CTGAN,Boosting regressor,-0.11104680464151007,2.6048506601725174,-0.11649985690821829,1.567712252232009
0,CTGANConsistency,Boosting regressor,-0.2032345751583644,2.2711845489482116,-0.22758433595294725,0.724640841567644
1,CTGANConsistency,Boosting regressor,-0.9022407935163521,2.8634167192440976,-0.913376520853413,2.0362862813643066
2,CTGANConsistency,Boosting regressor,-0.9574433928323116,3.360666745734133,-0.9597003911298261,1.8216270451883658
3,CTGANConsistency,Boosting regressor,-0.20333486592962036,2.49329517330307,-0.3122270565636429,1.549651250065834
4,CTGANConsistency,Boosting regressor,-0.6209688700263563,3.033339338915181,-0.6329979778265793,1.260671369175249
5,CTGANConsistency,Boosting regressor,-0.1959513628460965,2.403410540984189,-0.4686969621236512,1.2783456145787337
6,CTGANConsistency,Boosting regressor,-0.7183009300404946,2.7085977412021975,-0.7600375371979842,2.8222603316180126
7,CTGANConsistency,Boosting regressor,-0.5055517958816058,2.9064865691375283,-0.5621029566704565,1.530166435783951
8,CTGANConsistency,Boosting regressor,0.13129485858580925,2.7421949606900595,0.12775417482515405,0.9554229989499502
9,CTGANConsistency,Boosting regressor,-0.1918707044362724,2.1154772145578304,-0.19525617363155612,0.968620090979156
10,CTGANConsistency,Boosting regressor,-0.3736946096727374,3.0552653193411676,-0.6220482491736943,0.7772300779878836
11,CTGANConsistency,Boosting regressor,-0.4039401306773558,3.5562622006695426,-0.8327604413973733,1.9606272446430182
12,CTGANConsistency,Boosting regressor,-0.3716577771487941,1.7509180869807464,-0.39151252433064454,0.8071996007668094
13,CTGANConsistency,Boosting regressor,0.016884562505868228,2.988727193033967,0.015586943024919142,0.9590424772121237
14,CTGANConsistency,Boosting regressor,-0.6043379703889951,2.9712872092069444,-0.7474825419601048,1.7009154004118068
15,CTGANConsistency,Boosting regressor,-0.071538641663766,2.2885322914292408,-0.11507613078855217,0.7494673731347404
16,CTGANConsistency,Boosting regressor,-0.4469937359104734,3.651698360017586,-0.5873788057128506,2.02430245847438
17,CTGANConsistency,Boosting regressor,-0.14781642199517342,2.583313869997895,-0.1513120399690724,1.480664668628742
18,CTGANConsistency,Boosting regressor,-0.370369425289518,3.2296592004811204,-0.4811846475154833,2.162086005230147
19,CTGANConsistency,Boosting regressor,0.07059757110457121,3.1635886277353835,0.07014625169751676,1.483607546771314
