Exp. number,gener. method,class. method,f1,precision,recall,accuracy
0,Real,Boosting classifier,0.5472347596898677,0.6578713574982231,0.5637564233556317,0.7029369282619162
0,CTGAN,Boosting classifier,0.42621658647704014,0.5343988011151721,0.5087516044687426,0.5767934520943668
1,CTGAN,Boosting classifier,0.43913575610008804,0.528879015721121,0.5082049828035212,0.5984593163216178
2,CTGAN,Boosting classifier,0.42068563314569707,0.4731332221604595,0.498697448796263,0.7034183919114106
3,CTGAN,Boosting classifier,0.4299308402025631,0.5245551948051947,0.503893532504278,0.6494944631680308
4,CTGAN,Boosting classifier,0.4284534947716015,0.3755426917510854,0.49871877001921844,0.7496389022628791
5,CTGAN,Boosting classifier,0.39981759901666986,0.5109169037802683,0.501098637805997,0.6051998074145402
6,CTGAN,Boosting classifier,0.4071561793501123,0.48675135002454595,0.4989014869358863,0.6422725084256139
7,CTGAN,Boosting classifier,0.4121505217562512,0.48994183472205444,0.4989763437600496,0.6456427539720752
8,CTGAN,Boosting classifier,0.4195112758682218,0.4597335174671372,0.49822855419870343,0.7043813192103996
9,CTGAN,Boosting classifier,0.41042577487553644,0.5299359594006767,0.5005319891347527,0.6836783822821377
10,CTGAN,Boosting classifier,0.43396354965082606,0.5004541254125412,0.5001642271299399,0.568608570052961
11,CTGAN,Boosting classifier,0.43792354025951563,0.45678969600443187,0.4983599448058348,0.7664901299951854
12,CTGAN,Boosting classifier,0.48656320434152167,0.5324933290538585,0.5195716367868115,0.5662012518054886
13,CTGAN,Boosting classifier,0.42241379310344823,0.36690821256038647,0.49770642201834864,0.7313432835820896
14,CTGAN,Boosting classifier,0.4158050853529471,0.5144183773216031,0.500964131564687,0.6692344727973039
15,CTGAN,Boosting classifier,0.4286742388685503,0.6502623083131558,0.5042397970454074,0.7164179104477612
16,CTGAN,Boosting classifier,0.43451838083913447,0.5327163500568274,0.5019018360032185,0.7274915743861339
17,CTGAN,Boosting classifier,0.4465482722234973,0.5176325861126299,0.5075368218697877,0.5556090515166104
18,CTGAN,Boosting classifier,0.43963420527027897,0.5035920852359208,0.5015555994990442,0.5483870967741935
19,CTGAN,Boosting classifier,0.42916891896292336,0.5897651309846431,0.5054405194691428,0.6952335098700048
20,CTGAN,Boosting classifier,0.5105130718465383,0.5231432326397432,0.5200608883526474,0.5373134328358209
21,CTGAN,Boosting classifier,0.43447917466438035,0.5337214895578627,0.5067582087633784,0.6311988444872412
22,CTGAN,Boosting classifier,0.4344523536028663,0.5665723347824898,0.5099105314788357,0.6475686085700529
23,CTGAN,Boosting classifier,0.4321373050307482,0.4884801184389824,0.49568457635445295,0.5690900337024555
24,CTGAN,Boosting classifier,0.41948414931532546,0.48241904301594973,0.49966898716898717,0.7130476649013
25,CTGAN,Boosting classifier,0.4193756463965276,0.5008758352680763,0.5002038796209486,0.5912373615792008
26,CTGAN,Boosting classifier,0.4144833496803001,0.49969602223380233,0.4999644059350561,0.640346653827636
27,CTGAN,Boosting classifier,0.4241846053489889,0.43217208582172084,0.49639841208320123,0.7217140105922003
28,CTGAN,Boosting classifier,0.3989269177437726,0.46212475633528266,0.4980325644504749,0.6398651901781416
29,CTGAN,Boosting classifier,0.44755925585783607,0.5205309579471232,0.5072701893157298,0.5917188252286952
30,CTGAN,Boosting classifier,0.4273219710341777,0.5242602050762213,0.5049131367683838,0.6153105440539239
31,CTGAN,Boosting classifier,0.4028895530286263,0.4800626132806064,0.49783926856562355,0.6191622532498796
32,CTGAN,Boosting classifier,0.4167670698975473,0.534714373973449,0.5045709688172129,0.6239768897448242
33,CTGAN,Boosting classifier,0.41632398975526463,0.4456758384287567,0.49740111379254565,0.6957149735194993
34,CTGAN,Boosting classifier,0.42502107643015746,0.4971763229449906,0.49981809198706434,0.7029369282619162
35,CTGAN,Boosting classifier,0.411529686273743,0.5152919152919153,0.5013300199859162,0.6441983630235917
36,CTGAN,Boosting classifier,0.4352549062533214,0.5122524258524782,0.503795056334301,0.587385652383245
37,CTGAN,Boosting classifier,0.4167844202898551,0.5156402737047898,0.5010498554332136,0.6716417910447762
38,CTGAN,Boosting classifier,0.4152647650022345,0.5055395486039651,0.5005019425019425,0.6557534906114588
39,CTGAN,Boosting classifier,0.4257357191985065,0.6241241800834825,0.5037361485978645,0.7087144920558498
40,CTGAN,Boosting classifier,0.4172331085667737,0.5289627129047108,0.5012250845389463,0.6865671641791045
41,CTGAN,Boosting classifier,0.4224824890466134,0.5922137223507087,0.506485165444703,0.6668271545498314
42,CTGAN,Boosting classifier,0.4197169706603669,0.4842542965702926,0.4986507465904803,0.6788637457871931
43,CTGAN,Boosting classifier,0.4073015203653626,0.47700111172873816,0.49896089708172187,0.6644198363023591
44,CTGAN,Boosting classifier,0.42838599939483907,0.49522716288061863,0.4999047023940206,0.7385652383245065
45,CTGAN,Boosting classifier,0.4442396313364055,0.5128298584022468,0.5050213161430186,0.5710158883004334
46,CTGAN,Boosting classifier,0.43939534823654003,0.5166909974118037,0.5051024584173756,0.5974963890226288
47,CTGAN,Boosting classifier,0.4248270703694854,0.46832860387221775,0.4867863917565082,0.5507944150216658
0,CTGANConsistency,Boosting classifier,0.4135550478489525,0.5348035389018996,0.5042328377221004,0.6215695714973519
1,CTGANConsistency,Boosting classifier,0.42448399456185887,0.43857832988267775,0.49894151703206135,0.7323062108810785
2,CTGANConsistency,Boosting classifier,0.4974184716166168,0.516737622987,0.5132579922967173,0.5402022147327876
3,CTGANConsistency,Boosting classifier,0.4222345854686681,0.5568532267275843,0.5022020049193963,0.699566682715455
4,CTGANConsistency,Boosting classifier,0.45448089614799586,0.5115363834590818,0.5056483003609017,0.5546461242176216
5,CTGANConsistency,Boosting classifier,0.4157655186019772,0.5078243709916133,0.5008137706829106,0.6485315358690419
6,CTGANConsistency,Boosting classifier,0.42687416784053417,0.5301049233252623,0.5008703646664614,0.724602792489167
7,CTGANConsistency,Boosting classifier,0.428006959537265,0.5787059521882252,0.503294846394871,0.7106403466538276
8,CTGANConsistency,Boosting classifier,0.4286135260025063,0.5325262308313156,0.5009509180016093,0.7294174289841117
9,CTGANConsistency,Boosting classifier,0.4110490175338859,0.5117815317915368,0.5017940153912261,0.6056812710640347
10,CTGANConsistency,Boosting classifier,0.4203525328264486,0.49710360807679577,0.4996197982188969,0.6509388541165142
11,CTGANConsistency,Boosting classifier,0.48513964770915796,0.5332757638785718,0.5202375574128454,0.5584978334135773
12,CTGANConsistency,Boosting classifier,0.41812308902544004,0.44691102701751295,0.49863450133550635,0.7091959557053442
13,CTGANConsistency,Boosting classifier,0.40521460342270116,0.4842282805965438,0.497653305625022,0.6037554164660568
14,CTGANConsistency,Boosting classifier,0.4093442536103664,0.4732945360491432,0.4991196207334646,0.6769378911892152
15,CTGANConsistency,Boosting classifier,0.42264231385790785,0.5940389294403893,0.5045759336992789,0.68608570052961
16,CTGANConsistency,Boosting classifier,0.43017312699223786,0.4897618303106108,0.4962447264643082,0.5657197881559942
17,CTGANConsistency,Boosting classifier,0.4041221057504074,0.6011396638211739,0.502360268219299,0.6562349542609534
18,CTGANConsistency,Boosting classifier,0.4984043480867101,0.5219853500103655,0.5177435096623073,0.5286470871449206
19,CTGANConsistency,Boosting classifier,0.4095819120090965,0.49379652605459057,0.49922657006277255,0.6244583533943188
20,CTGANConsistency,Boosting classifier,0.46598503165706767,0.524873316030157,0.5119381807465919,0.575830524795378
21,CTGANConsistency,Boosting classifier,0.4132505963029219,0.5054976550286607,0.5006386443386651,0.635050553683197
22,CTGANConsistency,Boosting classifier,0.4177204097457227,0.5124559579506729,0.5021252042423275,0.613384689455946
23,CTGANConsistency,Boosting classifier,0.424546718358396,0.42199557498246176,0.4965656925635543,0.7274915743861339
24,CTGANConsistency,Boosting classifier,0.42050637845483624,0.500214163335237,0.5000083811056354,0.7029369282619162
25,CTGANConsistency,Boosting classifier,0.41563748214233653,0.49276390276390275,0.4989076801196776,0.6283100625902744
26,CTGANConsistency,Boosting classifier,0.4359442057791454,0.48676331317840754,0.4947438456420492,0.5719788155994222
27,CTGANConsistency,Boosting classifier,0.4745843435519379,0.5149296969874317,0.5095601076308471,0.5402022147327876
28,CTGANConsistency,Boosting classifier,0.4242000175042352,0.6049636803874092,0.5029206342076895,0.7087144920558498
29,CTGANConsistency,Boosting classifier,0.40975511454651264,0.47601364522417156,0.4987046823024127,0.667308618199326
30,CTGANConsistency,Boosting classifier,0.41730791251574484,0.5044912624530459,0.5003489766524044,0.6697159364467983
