Exp. number,gener. method,regg. method,explained_variance,max_error,r2,mean_squared_error
0,Real,Boosting regressor,0.2053958459036498,13.674144730825736,0.20498239848836364,0.6447129622290505
0,CTGAN,Boosting regressor,-0.0159857474033831,6.432933220532372,-0.01600347669015112,0.374472030082477
1,CTGAN,Boosting regressor,-0.023040240369613274,6.349054737368611,-0.023198715391432145,1.4025603211480322
2,CTGAN,Boosting regressor,-0.02351896046598756,6.974651979678694,-0.023821074314255286,0.7514972782013831
3,CTGAN,Boosting regressor,-0.02222012611409241,10.089169768248253,-0.02349131477641042,0.5039735279547173
4,CTGAN,Boosting regressor,-0.011577581424517591,5.966564997736993,-0.011780213837609743,0.5675596482260614
5,CTGAN,Boosting regressor,-0.0214781222638456,5.430464743333701,-0.02255029772033934,0.7559369747518354
6,CTGAN,Boosting regressor,-0.01240185154405049,5.276396319367095,-0.012463908252830835,0.6029950977975728
7,CTGAN,Boosting regressor,-0.023053358132510304,6.348457458070022,-0.023738207486403207,1.0636184955436623
8,CTGAN,Boosting regressor,-0.007324149233711719,9.234238425761866,-0.0074434418377566924,0.7470297196623765
9,CTGAN,Boosting regressor,-0.015652395979949052,6.0819756235249525,-0.01619284952240241,0.45704719685822087
10,CTGAN,Boosting regressor,-0.033083146202991465,5.9523352384879376,-0.033446900288210735,1.3420340892031806
11,CTGAN,Boosting regressor,-0.020644848258771775,8.422899410182424,-0.021436970946906664,1.5008180891069218
12,CTGAN,Boosting regressor,-0.01350864337986346,5.975035186468213,-0.013509944625367698,0.9209729176171282
13,CTGAN,Boosting regressor,-0.02911859447517129,6.752077962574756,-0.030481935227073098,0.6827752780120235
14,CTGAN,Boosting regressor,-0.036273089821623694,6.592204573108267,-0.03904719552577274,1.4215437050387614
15,CTGAN,Boosting regressor,-0.016023759528335457,6.780655156162414,-0.0161159092538794,0.746103364784062
16,CTGAN,Boosting regressor,-0.013300508724674476,8.856687623718008,-0.013373131933583693,0.4401647715968155
17,CTGAN,Boosting regressor,-0.017732619803247918,6.324932585018187,-0.017775472023368488,0.6263066200019092
18,CTGAN,Boosting regressor,-0.022407161357431038,4.792730570216655,-0.022569175926127727,0.6465777334750564
19,CTGAN,Boosting regressor,-0.020465152875776438,4.346034861351505,-0.021003047683441523,0.4400858640048493
20,CTGAN,Boosting regressor,-0.02137949263740735,5.457124640686723,-0.021715482857069368,0.34399266450398364
21,CTGAN,Boosting regressor,-0.029268468065798414,5.221824113556462,-0.03002584342180281,0.5469345400514924
22,CTGAN,Boosting regressor,-0.06113186133771187,5.221636741173247,-0.06118544775650747,0.45626942699016626
23,CTGAN,Boosting regressor,-0.03190706607617644,7.789489849703323,-0.031964560057580416,1.1576852995551064
24,CTGAN,Boosting regressor,0.0022610166822023547,5.5465332950221935,0.002030847607805919,0.6568229339542773
25,CTGAN,Boosting regressor,-0.0025732394177853113,8.131139552105665,-0.003611477924529094,0.9422720350667172
26,CTGAN,Boosting regressor,-0.025592208907057046,5.930278118877461,-0.0256005616687478,0.935032485011808
27,CTGAN,Boosting regressor,-0.010530429843461864,7.8467391857192865,-0.010706562940811626,1.1655094380316908
28,CTGAN,Boosting regressor,-0.02684010730896813,7.7231607142257355,-0.026846630515042103,0.7217365744080587
29,CTGAN,Boosting regressor,-0.0019701667569980152,5.283026988423737,-0.0024911138194818605,0.5404718196788806
30,CTGAN,Boosting regressor,-0.004458990353566561,7.748386880119085,-0.005005963098752009,1.8136375897456205
31,CTGAN,Boosting regressor,-0.007038850129339025,6.01088805597653,-0.009634814278415504,0.6941924232758417
32,CTGAN,Boosting regressor,-0.02746571692451516,7.09490082375563,-0.02810666477511714,1.0253845952844647
33,CTGAN,Boosting regressor,-0.0035113562025055334,6.899757594448458,-0.0037060697620738825,0.5856060251394506
34,CTGAN,Boosting regressor,-0.009050807609704892,7.254467819403573,-0.00907851537949722,1.4103855447050513
35,CTGAN,Boosting regressor,-0.01784657388451527,5.338075020047152,-0.018186832621316373,0.5885254902816326
36,CTGAN,Boosting regressor,-0.014029407057937426,6.047097710745864,-0.014033893444542755,0.5465168371345084
37,CTGAN,Boosting regressor,-0.02023951463666762,3.6502528126447227,-0.020421997417582327,0.3873356827128219
38,CTGAN,Boosting regressor,-0.029938375322706712,7.533391779738216,-0.030310484499771917,0.7114985463753865
39,CTGAN,Boosting regressor,-0.024089877199584775,6.985676554641711,-0.02460091608509596,1.809980177744952
40,CTGAN,Boosting regressor,-0.013582264465349825,7.991663428279471,-0.014723858684229318,2.508280972267669
41,CTGAN,Boosting regressor,-0.01915941892690798,5.90232930949012,-0.01916018447229284,0.464119252037371
42,CTGAN,Boosting regressor,-0.018107564250063213,6.701629787023997,-0.019866205846303053,0.6688470628107787
43,CTGAN,Boosting regressor,-0.027634464141183424,6.93879244319682,-0.028595741194477053,0.901731975458232
44,CTGAN,Boosting regressor,-0.020595847494129238,6.424629759107398,-0.02059733814092679,1.2166047310485884
45,CTGAN,Boosting regressor,-0.015763904019801878,6.000288682516832,-0.015771281405295934,0.5760209842787641
46,CTGAN,Boosting regressor,-0.014484976387954207,6.116233936325648,-0.015193614785922627,2.5614485530925477
47,CTGAN,Boosting regressor,-0.024989885918418553,6.021774182741894,-0.025021195295792387,0.8280319402223151
0,CTGANConsistency,Boosting regressor,-0.013631213867755898,6.458963857531495,-0.016148410432611726,0.33432890570886337
1,CTGANConsistency,Boosting regressor,-0.015793212350198482,8.505641059003247,-0.016496295787420845,0.8791563630434518
2,CTGANConsistency,Boosting regressor,-0.0154991504162596,6.932393057634577,-0.015507016459377132,0.6254241315034182
3,CTGANConsistency,Boosting regressor,-0.013076030320243737,3.0360170235419184,-0.016612063010870814,0.3206437961490562
4,CTGANConsistency,Boosting regressor,-0.030001144309199868,6.53935430332839,-0.03155577349132388,0.9083669476753816
5,CTGANConsistency,Boosting regressor,-0.009674858462971336,5.879076653422825,-0.009685130090349103,0.6241250136600941
6,CTGANConsistency,Boosting regressor,-0.018744899960214,6.01750648277571,-0.019767710980676423,0.718160491441138
7,CTGANConsistency,Boosting regressor,-0.0055965666837891614,5.656628036306087,-0.007130534686356382,0.8643922827294065
8,CTGANConsistency,Boosting regressor,-0.024975133633041935,6.850956668781511,-0.024990794595579402,1.031188063285035
9,CTGANConsistency,Boosting regressor,0.003601740180663171,6.531460766875918,0.0034367363747630497,1.2208833663049832
10,CTGANConsistency,Boosting regressor,-0.01637451594457695,6.022115944606202,-0.016483889996071754,0.46709438548637955
11,CTGANConsistency,Boosting regressor,-0.009311943009209456,5.910238957802048,-0.009606644056284086,0.5971451869230766
12,CTGANConsistency,Boosting regressor,-0.012511310043733292,5.746053854171207,-0.012919849749297274,0.9293075315704786
13,CTGANConsistency,Boosting regressor,-0.02941538926842613,5.540109179433435,-0.029928836198001685,0.4349709322677286
14,CTGANConsistency,Boosting regressor,-0.017624761001904687,5.589949359611699,-0.01784416475724071,0.48656323606414614
15,CTGANConsistency,Boosting regressor,-0.011786680563196095,5.662745364053575,-0.013511221068851276,0.5781001596852258
16,CTGANConsistency,Boosting regressor,-0.020097692245081067,7.722827180963167,-0.020099200913667348,1.71623238775244
17,CTGANConsistency,Boosting regressor,-0.008848227142555398,7.971573355327478,-0.009391512029231608,1.3222935619047598
18,CTGANConsistency,Boosting regressor,-0.02581698006946498,6.779148392167362,-0.025835945035253216,1.2923758712810345
19,CTGANConsistency,Boosting regressor,-0.014881667953245081,7.865460682047404,-0.01493042841339487,1.001544324421363
20,CTGANConsistency,Boosting regressor,-0.017734585526381297,6.26105933782006,-0.018133873952256963,0.7105159615775858
21,CTGANConsistency,Boosting regressor,-0.014330540167665662,5.3986412031920405,-0.015332401312899258,0.40873349616005045
22,CTGANConsistency,Boosting regressor,-0.030777230005601952,6.164322662953951,-0.03195960838445,1.158638733593381
23,CTGANConsistency,Boosting regressor,-0.02032574203040638,7.5556528433246255,-0.02058937069473399,1.054908275722875
24,CTGANConsistency,Boosting regressor,-0.01882097764979984,7.256718866597052,-0.01884145431207851,1.1962463991733245
25,CTGANConsistency,Boosting regressor,-0.007219161199901292,8.115401506320737,-0.007904495051939131,1.330413287495872
26,CTGANConsistency,Boosting regressor,-0.028882347328182068,7.196790048361985,-0.029510762088445608,1.2459763751478985
27,CTGANConsistency,Boosting regressor,-0.015846268426728205,6.95724466368924,-0.016176587413033516,0.8370971712796006
28,CTGANConsistency,Boosting regressor,-0.019039186885183357,3.309302236384042,-0.019790592697668696,0.38332055213903554
29,CTGANConsistency,Boosting regressor,-0.02772658796801042,6.59195446690443,-0.028529549510787566,0.8185463957981253
30,CTGANConsistency,Boosting regressor,-0.039468436044411304,8.441900046575787,-0.039519457193256446,1.0060499269403391
31,CTGANConsistency,Boosting regressor,-0.027659231251773164,6.644082712740238,-0.027888677489767755,0.7066651169398449
32,CTGANConsistency,Boosting regressor,-0.007313829659983062,6.163242856084569,-0.007431884901684116,0.8892403300779664
33,CTGANConsistency,Boosting regressor,-0.01344112369908168,5.380454107041948,-0.013989236516302572,0.5821362006276628
34,CTGANConsistency,Boosting regressor,-0.019200553588258895,5.903321734702166,-0.023666114128119142,0.567760026762227
35,CTGANConsistency,Boosting regressor,-0.022979893117204053,6.031328928116211,-0.023526602287893272,0.7989264061163104
36,CTGANConsistency,Boosting regressor,-0.014485497581270934,5.350877695953235,-0.01466034599212307,0.6058744394015557
37,CTGANConsistency,Boosting regressor,-0.020431239756369513,6.7461792649109595,-0.02059090195895741,0.7316105895327267
38,CTGANConsistency,Boosting regressor,0.004532690043204446,5.659658816284629,0.00383949945684825,0.480624284100233
39,CTGANConsistency,Boosting regressor,-0.024325586818516598,7.094891354077778,-0.024376321347848062,1.3454914076449176
40,CTGANConsistency,Boosting regressor,-0.01504766241275668,6.00079426917896,-0.015465279882308502,0.686396677004274
41,CTGANConsistency,Boosting regressor,-0.04045691783533645,7.431026669184781,-0.04091617985224527,0.8995440951075023
42,CTGANConsistency,Boosting regressor,-0.02412956833950508,6.04610160155102,-0.024248910285509684,0.7631257032580662
43,CTGANConsistency,Boosting regressor,-0.012610590237680519,5.819092367727721,-0.012630544640653163,0.570871403606911
44,CTGANConsistency,Boosting regressor,-0.03367754697087677,5.339092521459056,-0.03377855712041211,1.015918685112752
45,CTGANConsistency,Boosting regressor,-0.03577448806282968,6.3026572857786345,-0.03647531705595197,0.6800522122427947
46,CTGANConsistency,Boosting regressor,-0.03669959597706529,8.301668184193177,-0.03677410920945379,2.257087559447074
47,CTGANConsistency,Boosting regressor,-0.0182864654661119,7.499981288574441,-0.018956416224438,1.2635516302560879
