Exp. number,gener. method,class. method,f1,precision,recall,accuracy
0,Real,Boosting classifier,0.8325236887186791,0.8267849939041474,0.8398943729809525,0.8500695637940912
0,CTGAN,Boosting classifier,0.8137311830641871,0.8153198311502227,0.8151640569402657,0.8137327113511744
1,CTGAN,Boosting classifier,0.8054311199659325,0.8021051467885141,0.8092463656488359,0.8286275472624601
2,CTGAN,Boosting classifier,0.7775509367143583,0.7785873500379414,0.7765557278431989,0.8072673704885833
3,CTGAN,Boosting classifier,0.8194092098967682,0.8183594512400683,0.8223100807179233,0.8209346100335543
4,CTGAN,Boosting classifier,0.7853133745556311,0.7852284184762264,0.7853985793734826,0.817497340207873
5,CTGAN,Boosting classifier,0.7801651057510037,0.7800326088730307,0.7802981780516818,0.8160242245682953
6,CTGAN,Boosting classifier,0.8292657134517107,0.8298331320610093,0.8316463807410372,0.8294459448400032
7,CTGAN,Boosting classifier,0.8195302387683787,0.8161797872039782,0.8244531640886724,0.8275636304116539
8,CTGAN,Boosting classifier,0.8290644348589965,0.828588433039511,0.8327317402757848,0.8299369833865292
9,CTGAN,Boosting classifier,0.8003118457637949,0.7975682716760992,0.8036847626731264,0.8138963908666831
10,CTGAN,Boosting classifier,0.7733559380950761,0.7755812886786744,0.771269939956581,0.815451346264015
11,CTGAN,Boosting classifier,0.8355885949543658,0.8357924914264667,0.8371551700067287,0.8357476061870857
12,CTGAN,Boosting classifier,0.7797398489715403,0.7762957103245991,0.7839510344750215,0.8015385874457812
13,CTGAN,Boosting classifier,0.7540476323438763,0.7709269458906913,0.7423941160734934,0.8135690318356658
14,CTGAN,Boosting classifier,0.822395633225987,0.8206015779380843,0.825800020289,0.8253539569522874
15,CTGAN,Boosting classifier,0.7696930241184265,0.7761418396198435,0.7643185838488709,0.812095916196088
16,CTGAN,Boosting classifier,0.7950705200224428,0.7928846649492379,0.7980339966799357,0.8031753826008675
17,CTGAN,Boosting classifier,0.819610019664202,0.8167277745312826,0.8235525596915596,0.8277273099271626
18,CTGAN,Boosting classifier,0.809309960104292,0.8058506483517736,0.8137267223070447,0.8228169244619036
19,CTGAN,Boosting classifier,0.8127201250995705,0.8127711876015296,0.8168679243439082,0.8134871920779114
20,CTGAN,Boosting classifier,0.820238043292548,0.8189555571149834,0.8244370791812679,0.8220803666421147
21,CTGAN,Boosting classifier,0.8006175432116287,0.7967211840742314,0.8053226431621332,0.8218348473688518
22,CTGAN,Boosting classifier,0.8122581192815747,0.8093915575411148,0.8171292616296,0.8181520582699076
23,CTGAN,Boosting classifier,0.7933857173339165,0.7900910396068425,0.7992563833090867,0.8012112284147639
24,CTGAN,Boosting classifier,0.8118563478765688,0.8085827480441359,0.815702703093764,0.8301006629020378
25,CTGAN,Boosting classifier,0.8208050653090673,0.8208886721874101,0.8236278596699627,0.8212619690645716
26,CTGAN,Boosting classifier,0.7741438512138517,0.7738616879863449,0.774428699096448,0.8113593583762992
27,CTGAN,Boosting classifier,0.8206770924520335,0.8192629738781324,0.825962442404814,0.8227350847041492
28,CTGAN,Boosting classifier,0.8108437621883593,0.8097452037209063,0.8144444973807186,0.812586954742614
29,CTGAN,Boosting classifier,0.8330139232553362,0.832742453392372,0.8359833907943728,0.8336197724854735
30,CTGAN,Boosting classifier,0.8090319915668173,0.8045513434550864,0.8164788202187512,0.8188886160896963
31,CTGAN,Boosting classifier,0.7950651110977325,0.7929960273767004,0.7973577059593515,0.8159423848105409
32,CTGAN,Boosting classifier,0.8104682733093349,0.8068467871024788,0.81503679926979,0.8251084376790244
33,CTGAN,Boosting classifier,0.8139928245812923,0.8131949591992194,0.8186068115359807,0.815451346264015
34,CTGAN,Boosting classifier,0.8019567042489187,0.7990848484811146,0.8057736430152675,0.8125051149848597
35,CTGAN,Boosting classifier,0.8113315296102181,0.8069869138544964,0.8171239878056882,0.8258449954988133
36,CTGAN,Boosting classifier,0.808679030505011,0.8060876430118858,0.8118534688072745,0.8206072510025371
37,CTGAN,Boosting classifier,0.7753312937680156,0.7811220167938924,0.7702900578378838,0.8242900401014813
38,CTGAN,Boosting classifier,0.7910672032917829,0.7868351747939641,0.7970418769737653,0.8060397741222686
39,CTGAN,Boosting classifier,0.784315285064114,0.7835075113730083,0.7851425651415027,0.8230624437351666
40,CTGAN,Boosting classifier,0.8192521142901756,0.8158290549915804,0.8247402423677926,0.8263360340453392
41,CTGAN,Boosting classifier,0.8203275388075344,0.8209022457686718,0.8242666104001453,0.8207709305180456
42,CTGAN,Boosting classifier,0.8075771376563454,0.8058898213148222,0.8119532163884214,0.8103772812832474
43,CTGAN,Boosting classifier,0.8240419351204202,0.8218374337988159,0.8286090299749932,0.8273999508961454
44,CTGAN,Boosting classifier,0.7608854974123476,0.7681859545527914,0.7547596299184379,0.8163515835993126
45,CTGAN,Boosting classifier,0.779127678599421,0.7847352364567164,0.7743297933451301,0.8188067763319421
46,CTGAN,Boosting classifier,0.827883686907054,0.8269501787118917,0.8308126204896337,0.829118585808986
47,CTGAN,Boosting classifier,0.8287177074076955,0.8287398166772842,0.829731351812193,0.828873066535723
0,CTGANConsistency,Boosting classifier,0.7948880411766401,0.7910861056781365,0.7992966859790551,0.8225714051886407
1,CTGANConsistency,Boosting classifier,0.8115999872887194,0.8117392372837486,0.8153928749275206,0.8122595957115967
2,CTGANConsistency,Boosting classifier,0.8147819187558873,0.8120372793823865,0.8198783960969354,0.8197888534249939
3,CTGANConsistency,Boosting classifier,0.8119498284476174,0.8110632885249314,0.8156367443799026,0.8134053523201571
4,CTGANConsistency,Boosting classifier,0.7995876857231183,0.7962539341400898,0.8037875612900862,0.8147147884442262
5,CTGANConsistency,Boosting classifier,0.8055490683637839,0.8024685987114605,0.8110223313078198,0.8120140764383338
6,CTGANConsistency,Boosting classifier,0.8207390419152975,0.8178082033037082,0.8265265961719408,0.8255176364677961
7,CTGANConsistency,Boosting classifier,0.8068330191677534,0.8045036286917451,0.8116069284737788,0.8111138391030362
8,CTGANConsistency,Boosting classifier,0.84705247553801,0.8472279288011844,0.8479978711565883,0.8471233325149358
9,CTGANConsistency,Boosting classifier,0.8039330992412519,0.7998954941187648,0.8097872065966105,0.815696865537278
10,CTGANConsistency,Boosting classifier,0.8420172696284709,0.8429207103305358,0.8446019247278317,0.8421311072919224
11,CTGANConsistency,Boosting classifier,0.7908977881419741,0.7885888806474406,0.793496089956512,0.8121777559538423
12,CTGANConsistency,Boosting classifier,0.8046776637709494,0.801975838990536,0.8076843240295626,0.8287093870202145
13,CTGANConsistency,Boosting classifier,0.7952535021673611,0.7957480825753798,0.7947717643179567,0.8133235125624028
14,CTGANConsistency,Boosting classifier,0.804324164176061,0.8017618983544312,0.8076306108532001,0.814387429413209
15,CTGANConsistency,Boosting classifier,0.8216379303552974,0.8223975469554683,0.8243843494085532,0.8218348473688518
16,CTGANConsistency,Boosting classifier,0.8228460939899795,0.8219908634791957,0.8256822945872564,0.8240445208282183
17,CTGANConsistency,Boosting classifier,0.7879166661098707,0.7870880528513338,0.7887755422186224,0.8129143137736312
18,CTGANConsistency,Boosting classifier,0.7884776419810889,0.785181369600026,0.7923939125860242,0.8104591210410017
19,CTGANConsistency,Boosting classifier,0.8198503154978072,0.8198941246169309,0.8237681733018956,0.8205254112447827
20,CTGANConsistency,Boosting classifier,0.8127904937718781,0.8101283477347005,0.8174323958196672,0.8180702185121532
21,CTGANConsistency,Boosting classifier,0.8155965455558998,0.8167360305535292,0.818145776612759,0.815696865537278
22,CTGANConsistency,Boosting classifier,0.8172061084490463,0.8168212237949757,0.821027503489157,0.8181520582699076
23,CTGANConsistency,Boosting classifier,0.7668498463794691,0.7759087326010543,0.7595631060425001,0.8179065389966446
24,CTGANConsistency,Boosting classifier,0.7990118664658626,0.801037794216803,0.8037307866193621,0.7992470742286603
25,CTGANConsistency,Boosting classifier,0.7907686371565037,0.7898170800134665,0.791752803972089,0.8207709305180456
26,CTGANConsistency,Boosting classifier,0.7628132613298457,0.7648045459325823,0.7609374990747118,0.8082494475816352
27,CTGANConsistency,Boosting classifier,0.8121821085903214,0.8097955141028605,0.8155322506788274,0.8189704558474507
28,CTGANConsistency,Boosting classifier,0.7998900831411608,0.7984509923126464,0.8043265318560835,0.8024388247810786
29,CTGANConsistency,Boosting classifier,0.7779443801933299,0.7773925254115608,0.7785068299774183,0.8129143137736312
30,CTGANConsistency,Boosting classifier,0.7832858440350928,0.781822037339698,0.784955575019318,0.7962190031917505
31,CTGANConsistency,Boosting classifier,0.8097302254033093,0.8072835465036996,0.8165414088525297,0.8136508715934201
32,CTGANConsistency,Boosting classifier,0.8209431124175175,0.8205714816519627,0.8252060091019309,0.8219166871266061
33,CTGANConsistency,Boosting classifier,0.8254572774221858,0.8249162316537506,0.8285833968768175,0.8263360340453392
34,CTGANConsistency,Boosting classifier,0.8152772946430848,0.8130977803259926,0.8190949891347327,0.8194614943939766
35,CTGANConsistency,Boosting classifier,0.7863789455271696,0.7853369549261242,0.7874666411977056,0.8132416728046485
36,CTGANConsistency,Boosting classifier,0.8056368247613197,0.8056607595351882,0.8092357070024836,0.8063671331532859
37,CTGANConsistency,Boosting classifier,0.8094182838484629,0.806290204418683,0.815788389368254,0.8150421474752435
38,CTGANConsistency,Boosting classifier,0.8169532842978395,0.8130785191343579,0.82202134469358,0.8298551436287749
39,CTGANConsistency,Boosting classifier,0.7828909340773749,0.7848569151590952,0.7810663206124686,0.8114411981340536
40,CTGANConsistency,Boosting classifier,0.802670020915293,0.7994029277709895,0.8084875627506403,0.8097225632212128
41,CTGANConsistency,Boosting classifier,0.7807039823924324,0.7810572670712091,0.7803567275062809,0.8038301006629021
42,CTGANConsistency,Boosting classifier,0.8310957049913597,0.8318448647787975,0.8336068380700923,0.8312464195105983
43,CTGANConsistency,Boosting classifier,0.7946402166201609,0.7952302988600097,0.7940593705009311,0.8326376953924216
44,CTGANConsistency,Boosting classifier,0.7957849421192129,0.7932414724181962,0.7986438963796672,0.8183975775431704
45,CTGANConsistency,Boosting classifier,0.7966648076247002,0.7970053894817859,0.796327522948927,0.8314100990261069
46,CTGANConsistency,Boosting classifier,0.7500469009948931,0.7558424954119958,0.7451473945516067,0.8009657091415009
47,CTGANConsistency,Boosting classifier,0.7910584932501,0.7871007263577271,0.796960597686558,0.8035027416318847
0,TabFairGan,Boosting classifier,0.7853130882586389,0.78665501595574,0.7840511027709859,0.8083312873393895
1,TabFairGan,Boosting classifier,0.7967774453840372,0.7953671734919785,0.7982823838876171,0.8184794173009248
2,TabFairGan,Boosting classifier,0.788402203916823,0.7930573791144395,0.7843352762045395,0.8232261232506751
3,TabFairGan,Boosting classifier,0.778728855252823,0.788550313628451,0.7712652471238619,0.8161060643260496
4,TabFairGan,Boosting classifier,0.7803093552904645,0.7859513721024141,0.7757893444009696,0.8066126524265488
5,TabFairGan,Boosting classifier,0.7692251644920176,0.7813099616402392,0.7610221369875776,0.8030935428431132
6,TabFairGan,Boosting classifier,0.7935264599886155,0.7976760673834097,0.7898917238530014,0.8233898027661838
7,TabFairGan,Boosting classifier,0.7701037013998681,0.7834203087373244,0.7610453589074412,0.8075128897618463
8,TabFairGan,Boosting classifier,0.7646188251442472,0.7777038279015727,0.755590166500056,0.8053032163024797
9,TabFairGan,Boosting classifier,0.7918905561990401,0.7980122103808043,0.7870043734785659,0.8168426221458385
10,TabFairGan,Boosting classifier,0.7878882207259774,0.7908794636585782,0.7851567064407994,0.8219985268843604
11,TabFairGan,Boosting classifier,0.7662353157493313,0.7760469819125573,0.7587253192057384,0.8100499222522302
12,TabFairGan,Boosting classifier,0.7826466319337511,0.7924077071363893,0.7752891868905243,0.8170881414191014
13,TabFairGan,Boosting classifier,0.7844691527512044,0.7912406817273809,0.7791194788988451,0.8129143137736312
14,TabFairGan,Boosting classifier,0.7781057466578896,0.7851700230763433,0.7725719955316022,0.8085768066126524
15,TabFairGan,Boosting classifier,0.7581842723619648,0.7737525756539159,0.7485076462498446,0.7966282019805221
16,TabFairGan,Boosting classifier,0.7765605890235319,0.7879548170841868,0.7680675333184568,0.8178246992388902
17,TabFairGan,Boosting classifier,0.7617194680978348,0.7745541425001148,0.7530943353532678,0.7994925935019233
18,TabFairGan,Boosting classifier,0.7939310379233062,0.8013814364754493,0.7879830808675461,0.8240445208282183
19,TabFairGan,Boosting classifier,0.7818390498649488,0.7883598201048043,0.7766197510270739,0.8118503969228251
20,TabFairGan,Boosting classifier,0.7867281066123009,0.7915895303698834,0.7826280063995205,0.8152058269907521
21,TabFairGan,Boosting classifier,0.7820121435154392,0.7921658425472479,0.7744223665542314,0.8169244619035928
22,TabFairGan,Boosting classifier,0.8093334717737188,0.8135378516912521,0.8056379409329214,0.83582944594484
23,TabFairGan,Boosting classifier,0.7805366922293027,0.7873935347080185,0.7751199664645245,0.810540960798756
24,TabFairGan,Boosting classifier,0.7741080718196538,0.7835079370716289,0.7670313405419502,0.8100499222522302
25,TabFairGan,Boosting classifier,0.7856447786480115,0.7932384663171521,0.7795648330818274,0.8196251739094852
26,TabFairGan,Boosting classifier,0.779082424857363,0.7874360416842037,0.7725351171934574,0.8152058269907521
27,TabFairGan,Boosting classifier,0.7762877299067776,0.7791184406381103,0.7737684767661532,0.8037482609051477
28,TabFairGan,Boosting classifier,0.7921114869149899,0.802967563998068,0.7839356837135044,0.8269907521073737
29,TabFairGan,Boosting classifier,0.778340450061487,0.7853764644600298,0.772731438467908,0.8113593583762992
30,TabFairGan,Boosting classifier,0.7852277613161485,0.794251261291482,0.7781871960067299,0.8212619690645716
31,TabFairGan,Boosting classifier,0.7723203605388387,0.781847230716052,0.7651027054875674,0.8104591210410017
32,TabFairGan,Boosting classifier,0.77679657688622,0.7868520253273785,0.7694061107381345,0.8108683198297733
33,TabFairGan,Boosting classifier,0.7948345679570845,0.7996970975682884,0.7906338400995709,0.826008675014322
34,TabFairGan,Boosting classifier,0.7835022510463361,0.8005476355051979,0.7725811606052928,0.8188886160896963
