Exp. number,gener. method,regg. method,explained_variance,max_error,r2,mean_squared_error
0,Real,Boosting regressor,0.10664314353518789,12.901614656641614,0.10660586377994119,0.8438504395413248
0,CTGAN,Boosting regressor,0.020631516758933155,14.562132378962689,0.0205506413805836,1.2514036432293032
1,CTGAN,Boosting regressor,-0.007217725868857938,14.005349114113546,-0.007291977438293795,0.6325110959504798
2,CTGAN,Boosting regressor,0.03665498310481374,14.146983621465296,0.03632307185972139,1.9190511948560887
3,CTGAN,Boosting regressor,0.02798486567207148,14.6834877938174,0.027463896100525242,0.623130605867643
4,CTGAN,Boosting regressor,-0.0025924226052811417,14.079411786491718,-0.0027473218870024407,0.8228080279388934
5,CTGAN,Boosting regressor,0.0009374780221396151,14.03217894552565,0.000866257630590006,0.44799439956427956
6,CTGAN,Boosting regressor,0.020024021819035065,14.566371791687285,0.019855398709187955,0.9584773280822488
7,CTGAN,Boosting regressor,-0.012447272971777723,14.355236773846627,-0.012601821300199934,0.9909078517167547
8,CTGAN,Boosting regressor,0.014579544601122207,13.779477678750993,0.014562282233959611,1.0426752961957328
9,CTGAN,Boosting regressor,0.01660484243993854,14.321381800987053,0.016404381281234226,0.5384790718347875
10,CTGAN,Boosting regressor,0.029363810377187494,14.39957549931098,0.02935699250078061,1.5837518518346785
11,CTGAN,Boosting regressor,-0.00981884659495691,14.102802266055361,-0.010232454151284154,0.4267205968431291
12,CTGAN,Boosting regressor,-0.007416126038044757,14.296051825150554,-0.009091415973038197,0.5466524307113639
13,CTGAN,Boosting regressor,0.020794715282231535,14.188640646220753,0.020794715057437352,1.37991519000061
14,CTGAN,Boosting regressor,0.044070763621135156,14.210497223402442,0.04392701040220859,1.6389953286668002
15,CTGAN,Boosting regressor,0.03351272977993591,13.868093566314686,0.03345976104106685,0.7258287485591187
16,CTGAN,Boosting regressor,0.03235332866805829,14.57201552735026,0.032352086066202546,1.4365865040891137
17,CTGAN,Boosting regressor,-0.0025252390948515835,14.417782103056927,-0.0025258773874015095,0.45840922183140836
18,CTGAN,Boosting regressor,0.05629339854461768,14.538911118059557,0.05615486812986503,2.8578763851463655
19,CTGAN,Boosting regressor,-0.008889552157238745,14.368574852727777,-0.009142332859795488,0.7905675331883163
20,CTGAN,Boosting regressor,-0.022104624690713504,14.120178876687744,-0.022161189938995074,0.5686940160629168
21,CTGAN,Boosting regressor,0.048811748450987125,14.611832244901407,0.04840754398203406,1.822976644550994
22,CTGAN,Boosting regressor,0.008544659792002696,14.210108346497467,0.008533486268758272,0.8319244007502686
23,CTGAN,Boosting regressor,0.006119498681173008,13.956622142185989,0.0060549615388773015,0.7495147195668745
24,CTGAN,Boosting regressor,-0.03892083949161451,14.397262275276766,-0.03915745388225833,0.4081235688472451
25,CTGAN,Boosting regressor,0.06879873948421156,13.976417101109206,0.06874549973696731,0.8541060836716042
26,CTGAN,Boosting regressor,-0.006374086761161246,14.113073247813988,-0.006471474637128827,0.6576781659382417
27,CTGAN,Boosting regressor,0.04026498924816024,14.526931346750098,0.03966145338436866,1.1031539190735036
28,CTGAN,Boosting regressor,0.04599719292927584,14.523944060068818,0.04594570031777834,1.1867572947294818
29,CTGAN,Boosting regressor,0.09907127041142705,13.995148829581328,0.09903078883050798,0.7984373419410205
30,CTGAN,Boosting regressor,0.013628663435097277,14.195032023085332,0.013262785202381222,0.9253828869269466
31,CTGAN,Boosting regressor,0.03804134283251481,14.476829128068156,0.0379359779119407,2.586958552592771
32,CTGAN,Boosting regressor,0.024186458429634405,14.162923350851528,0.02397426340906683,1.591632687615315
33,CTGAN,Boosting regressor,0.003456884385039549,14.157171937448545,0.0033752205669690394,0.9778269033175242
34,CTGAN,Boosting regressor,0.03258549455152271,14.483482543581081,0.03251538629623085,1.4271964393529457
35,CTGAN,Boosting regressor,0.019401379835842336,13.935361757067945,0.019355046459734737,0.43011349501794277
36,CTGAN,Boosting regressor,0.024610226218041875,13.949338867835973,0.02435616828103604,0.5887336375431077
37,CTGAN,Boosting regressor,0.0464784388005105,13.923489856993616,0.04641559532462203,1.9689990854455768
38,CTGAN,Boosting regressor,-0.01180779497239337,14.210434231537567,-0.01197795564080173,0.6313798046296865
39,CTGAN,Boosting regressor,0.03231628326957159,15.366621721271706,0.03221404667899164,1.235587504262065
40,CTGAN,Boosting regressor,0.008121712773914491,14.171778057689888,0.008114338198184079,0.5556233504617283
41,CTGAN,Boosting regressor,0.05359174676270506,14.013604488049062,0.05358964543867628,0.8822782634449398
42,CTGAN,Boosting regressor,0.04327588934586957,13.969004815693252,0.04327483585499903,1.4417949297413541
43,CTGAN,Boosting regressor,-0.016366339899920312,13.647603420602813,-0.016366409493852485,0.4922673520541313
44,CTGAN,Boosting regressor,0.02327755715615165,14.283633225913373,0.02312608828845719,1.6628799418291036
45,CTGAN,Boosting regressor,0.04154182980318666,14.067790864612196,0.04129004298444061,1.6133263896611374
46,CTGAN,Boosting regressor,0.02985467177137424,14.597534826607854,0.029841682901516342,1.8886082188891555
47,CTGAN,Boosting regressor,0.022311530114954237,13.784761017481783,0.022253928014408397,1.8429881231284926
0,CTGANConsistency,Boosting regressor,0.02336906065109623,13.50233469055479,0.023027329899296123,0.46318188410216227
1,CTGANConsistency,Boosting regressor,0.0022477792421888854,13.797261962224606,0.002167470641657787,0.9925135949937817
2,CTGANConsistency,Boosting regressor,0.01630034275995529,13.65309868262729,0.01567372540614509,0.5979142248672904
3,CTGANConsistency,Boosting regressor,0.001308845121173241,13.936601160204027,0.001165397862682216,0.8259029245486634
4,CTGANConsistency,Boosting regressor,0.011148056155946495,14.181058560930502,0.01074988921837905,0.7681298996994673
5,CTGANConsistency,Boosting regressor,-0.0032013446045966454,14.347022722485063,-0.00346958743576975,0.6947351846510172
6,CTGANConsistency,Boosting regressor,0.020816095803018908,13.688027865186912,0.02079900417729663,1.3078595244020308
7,CTGANConsistency,Boosting regressor,0.025939355055962898,14.220710910229712,0.02592779732189099,0.9643993721797515
8,CTGANConsistency,Boosting regressor,0.04687828021788687,14.318207249324098,0.04687820867025971,2.0591483923367364
9,CTGANConsistency,Boosting regressor,0.02332500804024451,14.261066543696463,0.023322707940572562,1.5477885530436801
10,CTGANConsistency,Boosting regressor,0.01241096952768872,14.210693337160617,0.012410039707753784,1.477492980085738
11,CTGANConsistency,Boosting regressor,0.025381985972661725,14.045665101428325,0.025276994611739934,0.8454162992389357
12,CTGANConsistency,Boosting regressor,0.0263833424014136,14.166069483375681,0.026382126430127273,0.7671850114635607
13,CTGANConsistency,Boosting regressor,0.011281529239733579,14.755765260141954,0.011280736688709658,0.9670299241492512
14,CTGANConsistency,Boosting regressor,0.06611544765591537,14.402723808229359,0.06609625988133727,1.67153924019272
15,CTGANConsistency,Boosting regressor,0.014269089817704694,14.357920002339457,0.014264354519859967,0.8906741884124333
16,CTGANConsistency,Boosting regressor,0.009408772864635262,14.109590033683437,0.009391935418045949,0.629234486405893
17,CTGANConsistency,Boosting regressor,0.0014331559184393994,14.430130902895204,0.001431605046156692,0.8699259515734865
18,CTGANConsistency,Boosting regressor,0.021175706132971372,14.417648203924948,0.021153176337296964,0.9826754059951129
19,CTGANConsistency,Boosting regressor,0.038068025156744456,13.96831276600919,0.03806662764789914,1.3535312932589718
20,CTGANConsistency,Boosting regressor,0.044513635123630046,14.171353850132927,0.044512086794976646,1.1961249749547997
21,CTGANConsistency,Boosting regressor,0.043843604387631574,14.514690132914422,0.043782553372857524,1.2272131886492328
22,CTGANConsistency,Boosting regressor,0.029476853291556138,14.283916001600058,0.029056925847139037,1.0494555300334467
23,CTGANConsistency,Boosting regressor,0.055807206842040324,14.055460470493784,0.05560469671102797,1.410313412919694
24,CTGANConsistency,Boosting regressor,0.00655875915114712,14.389607190700792,0.006548958258979054,0.6164502676300906
25,CTGANConsistency,Boosting regressor,0.01764047406706193,14.108448979954263,0.017391505248010142,1.4717934813080653
26,CTGANConsistency,Boosting regressor,0.011701274615695478,13.442266408552978,0.01142563809520103,0.8838246221823975
27,CTGANConsistency,Boosting regressor,-0.0035603004566391316,14.703785771299648,-0.0037702994087907005,0.8520768525568815
28,CTGANConsistency,Boosting regressor,0.050518398855961544,13.784597164278313,0.050448967049254834,1.123393244088929
29,CTGANConsistency,Boosting regressor,0.057538030994514155,13.922997724238812,0.05735355930322872,1.9891053336877205
30,CTGANConsistency,Boosting regressor,0.04438923304360476,14.046362081778899,0.04425468961380019,1.4088091404312513
31,CTGANConsistency,Boosting regressor,0.03632158164571975,14.478989781744932,0.036229839669930874,1.4072676074904529
32,CTGANConsistency,Boosting regressor,0.03332296750839492,14.187570280802694,0.033304150493440265,0.9370119384729396
33,CTGANConsistency,Boosting regressor,0.01496037532131611,13.982554895058446,0.01496034961516346,1.1052237011946389
34,CTGANConsistency,Boosting regressor,0.027157576746242307,14.491203764777486,0.027107664093741213,1.652477279366186
35,CTGANConsistency,Boosting regressor,0.01243812606926209,13.307883443265302,0.012338189115495335,0.5527017710574886
36,CTGANConsistency,Boosting regressor,0.04043781505460198,14.211292115850595,0.04034295785271691,0.9169958519872943
37,CTGANConsistency,Boosting regressor,-0.03023453933951381,14.317421987965787,-0.030234797007305803,0.8055364908343463
38,CTGANConsistency,Boosting regressor,0.014964116381511516,14.205132186050044,0.014772778569629441,0.949182316086693
39,CTGANConsistency,Boosting regressor,0.05320490714667203,14.201119781507314,0.0532020465151839,1.2653751841992809
40,CTGANConsistency,Boosting regressor,0.02606807778728737,14.659383106389232,0.02601854557487404,1.0477154104658393
41,CTGANConsistency,Boosting regressor,0.009823912365063858,14.103877729070069,0.009809311603841797,0.6137602298225489
42,CTGANConsistency,Boosting regressor,0.03342304627151549,14.075452426397753,0.0333270703056745,0.997892259085001
43,CTGANConsistency,Boosting regressor,0.006893614868006104,14.531628370488985,0.006840644777634353,0.7683856034155812
44,CTGANConsistency,Boosting regressor,0.018508943861088034,14.749244105743225,0.018508102138606652,0.7618858597768619
45,CTGANConsistency,Boosting regressor,0.035085910493921735,13.940480408129229,0.035042769104624116,1.7332585772938445
46,CTGANConsistency,Boosting regressor,-0.09561684289087702,13.706780044925814,-0.09587282793211083,0.33504462425502146
47,CTGANConsistency,Boosting regressor,0.012810411330326232,14.560557619535116,0.012810321634661448,1.1315331660918528
0,TabFairGan,Boosting regressor,0.06397219531956866,13.334243398603867,0.06394161439454216,5.103416638842253
1,TabFairGan,Boosting regressor,0.07284448959140499,13.166808320892093,0.072844488657829,4.832194214362147
2,TabFairGan,Boosting regressor,0.04917265158895434,13.11228247620499,0.04916615310441064,5.8425693909257825
3,TabFairGan,Boosting regressor,0.04402620347737196,13.089352087949507,0.043922701012526044,3.9882434118950467
4,TabFairGan,Boosting regressor,0.049649086901598416,13.130053860183267,0.04961579902799307,4.35576202321978
5,TabFairGan,Boosting regressor,0.09467530176202166,13.099525579362924,0.09401381671830733,4.987515196117968
6,TabFairGan,Boosting regressor,0.057931410849954124,13.156237614538432,0.05723399410605823,5.177033067889108
7,TabFairGan,Boosting regressor,0.04955405756587106,13.17530391991529,0.04922937201301769,5.308448648210286
8,TabFairGan,Boosting regressor,0.04993059066313943,13.15808631821354,0.04986383573161557,6.0831148232287955
9,TabFairGan,Boosting regressor,0.0501141088049365,13.027003747170843,0.050033879225603206,5.4517493454066175
10,TabFairGan,Boosting regressor,0.0668850545293409,13.070836757248477,0.06685423874976748,5.495690888797981
11,TabFairGan,Boosting regressor,0.04934224133525,13.289162966336677,0.04933909348087406,4.835564189777347
12,TabFairGan,Boosting regressor,0.0798176856925632,13.170499924370683,0.07951424672550256,4.3056014840127625
13,TabFairGan,Boosting regressor,0.03496089896540222,13.146830988559442,0.034907354066861296,4.884795347204236
14,TabFairGan,Boosting regressor,0.11184254382974357,13.159316803283453,0.11143383132316964,3.780278074156837
15,TabFairGan,Boosting regressor,0.10585809187682815,13.161183386331837,0.105842879084309,6.47125312018429
16,TabFairGan,Boosting regressor,0.09450493743872057,13.07213666717648,0.09449942708419057,4.712766540377482
17,TabFairGan,Boosting regressor,0.04787683824560529,13.41232577186318,0.04753276330592293,4.825150034216599
18,TabFairGan,Boosting regressor,0.08750223482694186,13.12498792194021,0.08744479484639667,4.579529646218659
19,TabFairGan,Boosting regressor,0.052068347954694394,13.495440685240924,0.052063910524894896,4.5838459719540525
20,TabFairGan,Boosting regressor,0.07571809619695902,13.146390184612875,0.07570155492997999,4.765802828397178
21,TabFairGan,Boosting regressor,0.10641794342119071,13.350229228333703,0.10631866182024774,5.520381140270692
22,TabFairGan,Boosting regressor,0.07363338222557203,13.305238700100745,0.0732681619005171,5.4285725196551455
23,TabFairGan,Boosting regressor,0.06808354200501254,13.10613002219321,0.0680729721441824,6.027498390506462
24,TabFairGan,Boosting regressor,0.0506007390417641,13.175146114093105,0.0504428152095483,5.028166010250846
25,TabFairGan,Boosting regressor,0.037816250437442966,13.103640293757563,0.037809140099751004,4.50498706174161
26,TabFairGan,Boosting regressor,0.07053270392496813,13.279804339985771,0.070532655794323,4.9713302445694705
27,TabFairGan,Boosting regressor,0.06602404781210602,13.12603078942365,0.06600356131136609,4.527635861752648
28,TabFairGan,Boosting regressor,0.05759800488446343,13.153075656896847,0.057593366880342334,4.602636267885553
29,TabFairGan,Boosting regressor,0.0481587329344807,13.129562421324188,0.04725463154509002,4.231704483555709
30,TabFairGan,Boosting regressor,0.05543557608427452,13.12141175416936,0.055379363182394115,4.845785987445911
31,TabFairGan,Boosting regressor,0.04657797284291321,13.045349374353071,0.04626632824603427,4.4218067040630205
32,TabFairGan,Boosting regressor,0.030876274801696746,13.149408319461058,0.03075415738350995,4.545352687341196
33,TabFairGan,Boosting regressor,0.049526633832476574,13.180702549225067,0.04839120286077958,5.503769782571412
34,TabFairGan,Boosting regressor,0.05084801116114668,13.086542393461597,0.05079956426419263,4.8728081202370985
35,TabFairGan,Boosting regressor,0.04769910396009258,13.135752849103342,0.047688253156286775,4.037118106304666
36,TabFairGan,Boosting regressor,0.11643650827726615,13.164281974909784,0.11637885204722609,3.23381255320464
37,TabFairGan,Boosting regressor,0.026059105514426806,13.114759750433365,0.026054776322425033,4.588256687986395
38,TabFairGan,Boosting regressor,0.07416057189431535,13.144835966206339,0.07401486930491152,4.493903863653831
39,TabFairGan,Boosting regressor,0.11672771414685668,13.165339526113996,0.11655532163333904,4.794037540212366
40,TabFairGan,Boosting regressor,0.06257491949859639,13.202040991474195,0.06245184574039819,4.547343156190589
41,TabFairGan,Boosting regressor,0.058173100789485566,13.073929582438042,0.058149503966708704,4.0667301274560845
42,TabFairGan,Boosting regressor,0.06323616511095653,13.281897892130447,0.06308117201796704,5.069233532166594
43,TabFairGan,Boosting regressor,0.10474810182952166,13.346565557464423,0.10415468176077514,5.057936191250026
44,TabFairGan,Boosting regressor,0.03937590306202976,13.221446642774161,0.039343183406567284,5.049318091679984
45,TabFairGan,Boosting regressor,0.060806340084092914,13.074913031644115,0.06069399308068457,6.708614192532748
46,TabFairGan,Boosting regressor,0.02988315906783756,13.189620326551015,0.029860356033373225,5.566524347856417
47,TabFairGan,Boosting regressor,0.09215636856670928,13.181432759756152,0.09215312435280687,4.315523202847778
0,TabFairGanConsistent,Boosting regressor,0.09602021085234302,13.277006301674044,0.09601793100019107,4.727637181665802
1,TabFairGanConsistent,Boosting regressor,0.08960520496482338,13.184296973194343,0.08956989618728517,4.702262787433339
2,TabFairGanConsistent,Boosting regressor,0.07943535668380064,13.070895868707174,0.07935786762042074,4.536548635530242
3,TabFairGanConsistent,Boosting regressor,0.0882681589120774,13.070211966123917,0.08805990705749189,4.732577106721134
4,TabFairGanConsistent,Boosting regressor,0.03403742897330808,13.053352993986499,0.0340203932302825,4.479402996868009
5,TabFairGanConsistent,Boosting regressor,0.04577216541470308,13.082998541559858,0.04577106910661033,4.6383877503903905
6,TabFairGanConsistent,Boosting regressor,0.0733867189086298,13.15702597077212,0.07335596059971417,5.876073885196251
7,TabFairGanConsistent,Boosting regressor,0.04432952745467156,13.233541330035411,0.04426929022163417,4.518517818474439
8,TabFairGanConsistent,Boosting regressor,0.030143435814227737,13.183815318724745,0.030073461714385075,3.760657284219116
9,TabFairGanConsistent,Boosting regressor,0.08459673906374221,13.204778863646743,0.08453087710433971,6.051456388825245
10,TabFairGanConsistent,Boosting regressor,0.07095754373386354,13.239749226238601,0.07078077192530619,3.8759443942305385
11,TabFairGanConsistent,Boosting regressor,0.03806527586684216,13.193565433291676,0.03801498178829654,4.909280285569921
12,TabFairGanConsistent,Boosting regressor,0.042604386205916334,13.263716368596864,0.04237067399110839,5.234615737541237
13,TabFairGanConsistent,Boosting regressor,0.0477261166380506,13.131517090316407,0.04763929828114055,4.579408979124315
14,TabFairGanConsistent,Boosting regressor,0.0900484473268437,13.183367175932291,0.0899021090078791,5.927090540948821
15,TabFairGanConsistent,Boosting regressor,0.045650182304169395,13.09348474704323,0.045641405184351336,5.230596501244828
16,TabFairGanConsistent,Boosting regressor,0.05316302448510857,13.110998992780788,0.053132332635297264,4.369438886095981
17,TabFairGanConsistent,Boosting regressor,0.07716110598834691,13.139321819158102,0.0770676513082117,4.766510380777101
18,TabFairGanConsistent,Boosting regressor,0.04508494912117311,13.379331653574829,0.044908694458901666,5.570590617495401
19,TabFairGanConsistent,Boosting regressor,0.05227015371722976,13.189147816395007,0.05215135136955906,4.133711114711706
20,TabFairGanConsistent,Boosting regressor,0.06945632169865901,13.264809027671673,0.06943287149375232,4.499290952103286
21,TabFairGanConsistent,Boosting regressor,0.04697747163371624,13.08785377990402,0.04694750798134262,5.024883079701982
22,TabFairGanConsistent,Boosting regressor,0.03118733643893845,13.231017544139569,0.031177365323004524,4.440774309636732
23,TabFairGanConsistent,Boosting regressor,0.03666405825633745,13.181550807002614,0.03665319851501092,3.3003228337861072
24,TabFairGanConsistent,Boosting regressor,0.04682385155389657,13.163137960675606,0.04650497899166617,4.2945110402296605
25,TabFairGanConsistent,Boosting regressor,0.06081792340872083,13.167371397968072,0.06041446693053254,5.246229723135761
26,TabFairGanConsistent,Boosting regressor,0.05633448434737154,13.136264004394214,0.05598093562695794,5.701350032005063
27,TabFairGanConsistent,Boosting regressor,0.029137211211842318,13.262389666268952,0.028888651359013973,4.820224197762312
28,TabFairGanConsistent,Boosting regressor,0.14640728172785877,13.169313309467496,0.14637234018558587,4.025660058847624
29,TabFairGanConsistent,Boosting regressor,0.04737057883740037,13.240808925955205,0.04729919603139443,4.495199226873903
30,TabFairGanConsistent,Boosting regressor,0.07041592895985227,13.099004517684149,0.07034905780202105,5.506710166972268
31,TabFairGanConsistent,Boosting regressor,0.0803661017555457,13.080710046236046,0.08034779030135486,4.834257858169452
32,TabFairGanConsistent,Boosting regressor,0.028275244198860516,13.133272438258492,0.027979341278452807,4.316238649618901
33,TabFairGanConsistent,Boosting regressor,0.03607599457087196,13.132854018558348,0.03606736955310663,4.787966955721652
34,TabFairGanConsistent,Boosting regressor,0.06753000334294657,13.165516523494864,0.06751575680424515,4.323447595664366
35,TabFairGanConsistent,Boosting regressor,0.04673292699822795,13.302273090611461,0.04672362742276692,5.796129866185824
36,TabFairGanConsistent,Boosting regressor,0.0659583983668669,13.060549435870351,0.06592999161268809,3.759904454349457
37,TabFairGanConsistent,Boosting regressor,0.04409264042268313,13.098006897177275,0.04404925200668364,5.167856360996226
38,TabFairGanConsistent,Boosting regressor,0.08627287656421323,13.209713893075484,0.08625659769395466,5.2811557176510355
39,TabFairGanConsistent,Boosting regressor,0.11276726836466144,13.132938831967019,0.1123211519909948,3.4538014142412625
40,TabFairGanConsistent,Boosting regressor,0.055072452321591525,13.209498753566585,0.05482357462662135,4.757082269053353
41,TabFairGanConsistent,Boosting regressor,0.11817040930779144,13.166863909102776,0.11817026814293352,4.660490443779722
42,TabFairGanConsistent,Boosting regressor,0.03806033454085378,13.081941251649464,0.03761792272792619,3.603837231701623
43,TabFairGanConsistent,Boosting regressor,0.05218625332553839,13.134868522211402,0.05216542165186677,6.702833810146928
44,TabFairGanConsistent,Boosting regressor,0.05610667450035467,13.166878277081937,0.05597551915953891,3.901223452304062
45,TabFairGanConsistent,Boosting regressor,0.03172130076817303,13.088809198541476,0.03172030758742983,4.156271900325395
46,TabFairGanConsistent,Boosting regressor,0.06499614686667654,13.175156394500439,0.06453326328372988,3.7907193711488536
47,TabFairGanConsistent,Boosting regressor,0.09978206003587475,13.296060952790356,0.09977960408778808,4.372917839323405
