Exp. number,gener. method,regg. method,explained_variance,max_error,r2,mean_squared_error
0,Real,Boosting regressor,0.9991131566700485,0.21259240189414277,0.9990938889468656,0.000892587287255456
0,CTGAN,Boosting regressor,-0.10053864576538296,3.5504891725951193,-0.10059297971296699,0.7403926399507511
1,CTGAN,Boosting regressor,-0.11797123170215151,3.1517946114628748,-0.11809488996732576,0.5814151457346343
2,CTGAN,Boosting regressor,-0.0510230790422439,3.1719680391427687,-0.053508787868790764,1.838476136078711
3,CTGAN,Boosting regressor,-0.050383100914545675,2.876720489918076,-0.054543507704473804,0.7810212792568074
4,CTGAN,Boosting regressor,-0.11964418366578045,3.8069417510457315,-0.1196456322832451,0.5276554281975577
5,CTGAN,Boosting regressor,-0.10451871319116468,2.7118718555334356,-0.10457511574471101,0.46154679557473227
6,CTGAN,Boosting regressor,-0.12858740610133101,3.236591618606134,-0.12992818177292653,0.5194382273215665
7,CTGAN,Boosting regressor,-0.1641299805902201,3.269225041103457,-0.1663101023965028,0.48244997501882597
8,CTGAN,Boosting regressor,-0.08044567017841175,3.8076177486328318,-0.08110288437563695,1.0615213779769708
9,CTGAN,Boosting regressor,-0.20438749507906429,3.4824046592135067,-0.20596011689071725,0.47033214963973435
10,CTGAN,Boosting regressor,-0.09522460719004222,3.034214657431107,-0.11151206736978647,1.178780503300946
11,CTGAN,Boosting regressor,-0.11085673904200544,3.3038430335851903,-0.11086382215113977,0.5567036076982893
12,CTGAN,Boosting regressor,-0.07403694436523023,3.318238325773443,-0.0909670749361311,0.7965865616347679
13,CTGAN,Boosting regressor,-0.04550805012036885,3.368912619386958,-0.05067758868193861,0.909349062866338
14,CTGAN,Boosting regressor,-0.18707705418587528,2.92610507886873,-0.18746463727680918,0.6575129798545444
15,CTGAN,Boosting regressor,-0.10034335580282705,3.06507199412577,-0.10238940530771257,1.1120462509243376
16,CTGAN,Boosting regressor,-0.07181696790147396,3.1913479556363673,-0.07185626824920832,0.5164316285778636
17,CTGAN,Boosting regressor,-0.2124033949884223,3.1960914610578977,-0.21303268350157034,0.5606026754690523
18,CTGAN,Boosting regressor,-0.08641127131687187,3.358828771869422,-0.08895349277391063,0.8673771975940142
19,CTGAN,Boosting regressor,-0.053560023785864,3.1550581392578083,-0.054313583254281594,0.4364988849607768
20,CTGAN,Boosting regressor,-0.07335488185298256,3.3386104220487463,-0.08807270185744875,0.850173885182052
21,CTGAN,Boosting regressor,-0.05144201094586465,3.2881155805587405,-0.052973142227491055,0.8996950470914901
22,CTGAN,Boosting regressor,-0.11493758187122705,2.6182942238045825,-0.12267527374175269,0.3167531230842482
23,CTGAN,Boosting regressor,-0.0773940297314033,2.2724638403413846,-0.08421414172419106,0.6140875517208538
24,CTGAN,Boosting regressor,-0.13495762038005044,3.539760861478233,-0.13499399009934487,0.9104788451971604
